text,label
"Електричний гриль Ariete 1911 нерівномірно прогріває поверхню, м'ясо підгорає або залишається сирим, розчарування.", негативний 
"Мікрохвильова піч Samsung MG23K3575AS чудовий дизайн, легко чиститься, рівномірно розігріває їжу, користуюся із задоволенням.", позитивний  
"Смарт-годинник Huawei Watch GT3 зручний, точний, батарея тримає довго, виглядає стильно, рекомендую для спорту і щоденного використання.", позитивний  
"Мультиварка Panasonic SR-TMH18LTW готує чудово, зручне меню, легко чиститься, тепер економлю багато часу на кухні.", позитивний  
"Товар сподобався! Все працює без нарікань, якість на висоті, виглядає стильно і сучасно. Задоволена покупкою!", позитивний  
"Гроші на вітер! Товар жахливий, абсолютно не відповідає заявленим характеристикам. Не рекомендую!", негативний  
"Купувала для себе і дуже задоволена! Все працює чітко, виглядає шикарно, матеріали якісні. Рекомендую всім!", позитивний  
"Товар нормальний, але є деякі недоліки в роботі. Для своєї ціни — не найгірший варіант.", нейтральний  
"Це просто кошмар! Товар не працює, підтримка нічого не вирішує. Дуже розчарована, не раджу нікому.", негативний  
"Товар супер! Все працює на ура, виглядає круто, і я дуже задоволена своїм вибором. Рекомендую купувати!", позитивний  
"Товар середній. Працює, але не так добре, як я очікувала. В принципі, для такої ціни — нормально.", нейтральний  
"Розчарування! Нічого не працює, як треба, ще й виглядає дешево. Даремно витратила гроші!", негативний  
"Купила товар для себе і дуже задоволена! Все працює без проблем, виглядає стильно і сучасно. Дуже рада покупці!", позитивний  
"Нормальний товар, але є нюанси, які хотілося б виправити. Загалом, можна використовувати, але не ідеал.", нейтральний  
"Товар розчарував. Функції не працюють, як обіцяли, матеріали дешеві. Повертатиму!", негативний  
"Купила товар і не пошкодувала. Все працює бездоганно, виглядає чудово, дуже задоволена!", позитивний  
"Товар нормальний, але трохи розчарувала якість матеріалів. Для цієї ціни, в принципі, прийнятно.", нейтральний  
"Це жах! Товар ламається після першого використання, виглядає дешево і ненадійно. Не рекомендую!", негативний  
"Товар пристойний, але не без нюансів. В цілому, працює нормально, але можна було б зробити краще.", нейтральний  
"Це провал! Товар не працює, як обіцяли, виглядає дешево і ненадійно. Даремно витратила гроші!", негативний
"На вигляд все було добре, але працює з перебоями. Для такої ціни очікувала більшої надійності.", нейтральний  
"Придбала цей товар, і він виправдав усі мої очікування. Якість чудова, працює стабільно, однозначно рекомендую!", позитивний  
"Товар наче й нормальний, але упаковка була пошкоджена. Є невеликі нюанси в роботі, які псують враження.", нейтральний  
"Повне розчарування! Товар не відповідає опису, працює з перебоями. Не рекомендую купувати!", негативний  
"Якість перевершила очікування! Усе працює чудово, виглядає стильно і сучасно. Дуже задоволена покупкою!", позитивний  
"Товар нормальний, але є кілька недоліків, які могли б виправити. Загалом, як для ціни, все ок.", нейтральний  
"Жахливий досвід! Товар перестав працювати вже через два дні. Служба підтримки теж нічим не допомогла.", негативний  
"Цей товар ідеальний! Працює бездоганно, матеріали якісні, дизайн чудовий. Дуже задоволена, рекомендую всім!", позитивний  
"Придбала товар, і він працює, але якість матеріалів могла б бути кращою. Для своєї ціни — прийнятний варіант.", нейтральний  
"Не відповідає опису! Виглядає дешево, працює нестабільно. Дуже шкода витрачених грошей.", негативний  
"Товар наче нормальний, але є нюанси в роботі. Для повсякденного використання цілком підходить, але хотілося б кращого.", нейтральний  
"Це розчарування! Товар повністю вийшов з ладу через тиждень. Гроші на вітер!", негативний  
"Товар чудовий! Усе відповідає опису, працює бездоганно, виглядає стильно. Дуже задоволена покупкою!", позитивний  
"Загалом, товар працює, але є дрібні недоліки. Як для своєї ціни, цілком адекватний варіант.", нейтральний  
"Жахливий товар! Абсолютно не відповідає заявленим характеристикам. Дуже розчарована, не рекомендую.", негативний  
"Класна річ! Якість висока, працює стабільно, все відповідає опису. Купувала для себе, але подарувала мамі — вона в захваті!", позитивний   
"Якість перевершила очікування! Товар стильний, працює відмінно. Дуже задоволена своїм вибором, рекомендую всім!", позитивний  
"Придбала товар, і він працює відмінно. Матеріали якісні, все зроблено акуратно, я дуже задоволена!", позитивний  
"Фен Rowenta CV1630 не нагрівається рівномірно, волосся залишаються мокрими, навіть при найвищій температурі. Повний розчарування!", негативний  
"Мультиварка Redmond RMC-M250 перестала працювати через кілька днів, не раджу, коштує своїх грошей тільки в рекламі.", негативний  
"Смарт-годинник Amazfit GTS 2 погано працює з додатками, швидко втрачає з'єднання з телефоном, не рекомендую.", негативний  
"Кухонний комбайн Bosch MUM4427 не виконує всі функції, як очікувала. Пластик слабкий, швидко ламається.", негативний  
"Чайник Philips HD9350 протікає після кількох місяців використання, дуже неприємно. Не рекомендую цей товар.", негативний  
"Чайник Tefal KO150130 непоганий, але іноді пластик сильно нагрівається, що викликає незручності при користуванні.", нейтральний  
"Мікрохвильова піч Samsung ME83X нормально розігріває їжу, але виглядає дещо застаріло, не дуже зручний інтерфейс.", нейтральний  
"Блендер Braun MQ5000 непогано працює, але іноді застряє, коли перебиває щось густе. Загалом, звичайний продукт.", нейтральний  
"Смарт-лампа Yeelight Color Bulb непогана, але з’єднання через Wi-Fi нестабільне, іноді доводиться перепідключати.", нейтральний  
"Кухонний комбайн Kenwood FDM301SS робить свою роботу, але інколи занадто громіздкий для зберігання.", нейтральний  
"Фен Philips HP8233 чудово сушить волосся, не пересушує, зручний і швидко нагрівається. Повністю задоволена покупкою!", позитивний  
"Робот-пилосос Xiaomi Mi Robot Vacuum чудовий, ефективно прибирає, легко керувати, рекомендую для домашнього використання.", позитивний  
"Чайник Philips HD9350 швидко кип’ятить воду, стильний, простий у використанні, працює бездоганно вже кілька місяців.", позитивний  
"Смарт-годинник Amazfit GTS 2 супер! Всі функції працюють чудово, довга батарея, зручний дизайн, задоволена.", позитивний  
"Блендер Bosch MSM67140 працює чудово, перебиває навіть тверді інгредієнти без зусиль, просто та надійно.", позитивний  
"Електричний чайник Scarlett SC-EK21S57 закипає занадто довго, запах пластику залишився навіть після кількох використань.", негативний 
"Мультиварка Polaris PMC 0517AD складне меню, не рівномірно готує страви, а ще швидко зламався дисплей.", негативний 
"Блендер Moulinex LM811D10 занадто гучний, пластикова чаша з часом почала тріскатися, зовсім не виправдав очікувань.", негативний 
"Кавомашина De'Longhi Magnifica S готує смачну каву, але трохи складна в налаштуванні для новачків.", нейтральний 
"Тостер Philips HD2581 підсмажує рівномірно, але дроти трохи короткі, доводиться ставити близько до розетки.", нейтральний 
"Фітнес-браслет Huawei Band 7 виглядає добре, але інколи не синхронізується з телефоном, в принципі нормальний.", нейтральний 
"Фітнес-трекер Garmin Vivosmart 4 показує основні показники, але інтерфейс інколи зависає, функціональний, але не без проблем.", нейтральний 
