text,label
"Чайник швидко гріє воду, але шумний. Так собі.", нейтральний  
"Загалом ок, але іноді виникають дрібні проблеми.", нейтральний  
"Годинник виглядає красиво, але батарея слабка. Так собі.", нейтральний  
"Блендер Bosch MSM67140 функціонує, але іноді леза застряють під час роботи.", нейтральний  
"Працює, як заявлено, але могли б додати більше функцій.", нейтральний  
"Смарт-годинник Amazfit GTS 2 працює стабільно, але батарея тримає недовго.", нейтральний  
"Чайник Tefal KO150130 кип'ятить воду, однак корпус сильно нагрівається, і це не нормально", нейтральний  
"Товар працює, але іноді виникають дрібні незручності.", нейтральний
"Функціонал відповідає опису, але не вистачає кількох опцій, які були обіцяні.", нейтральний
"Мікрохвильова піч LG MH6535GIH розігріває їжу, але функції трохи заплутані.", нейтральний  
"Деякі елементи працюють неідеально, але в цілому прийнятно.", нейтральний  
"Продукт виглядає добре, але довговічність викликає питання.", нейтральний  
"Функціонує, але є деталі, які можна було б покращити.", нейтральний  
"Продукт нормально працює, але матеріали виглядають дешевими.", нейтральний 
"Продукт задовільний, хоча є певні недоліки у дизайні.", нейтральний  
"Електричний гриль Russell Hobbs 20930* грильує непогано, проте очищати пластини незручно.", нейтральний  
"Міксер Bosch MFQ4030 працює добре, але кнопки занадто тугі.", нейтральний 
"Чайник Scarlett SC-EK21S22 кип'ятить воду, але шумить більше, ніж очікувала.", нейтральний 
"Смарт-годинник Huawei Watch Fit стильний, але заряд тримає лише кілька днів.", нейтральний 
"Пристрій працює нормально, але функціонал трохи заплутаний.", нейтральний  
"Ніколи більше не купуватиму подібний продукт, неякісно", негативний  
"Товар зовсім не працює, абсолютно не рекомендую до покупки.", негативний
"Просто жах, пристрій зламався після першого використання.", негативний  
"Електрогриль Tefal GC205012 зламався на другому використанні, нагрівання відсутнє.", негативний  
"Смарт-лампа Yeelight Color Bulb постійно втрачає з'єднання з Wi-Fi, не рекомендую.", негативний  
"Фітнес-браслет Xiaomi Mi Band 7 неточні показники пульсу, зарядка швидко сідає.", негативний  
"Пилосос Samsung VC15K4110VR слабка потужність, не прибирає навіть дрібне сміття.", негативний  
"Якість низька, не виправдав очікувань, повне розчарування.", негативний  
"Меблі нестійкі, деревина низької якості. Дуже розчарований.", негативний  
"Товар зламався через кілька днів, зовсім не раджу.", негативний  
"Пристрій працює погано, абсолютно не відповідає очікуванням.", негативний  
"Постійні поломки і низька якість. Даремно витрачені гроші.", негативний  
"Батарейки швидко сідають, довго не тримають. Розчарування.", негативний  
"Килимок для йоги слизький, важко займатися. Розчарування.", негативний  
"Кавоварка незручна, каву проливає через край. Шкода грошей.", негативний  
"Праска перегрівається, залишає плями на одязі. Жахливо.", негативний  
"Тостер спалює хліб навіть на мінімумі. Розчарований.", негативний  
"Пилосос постійно засмічується, слабка потужність. Не раджу.", негативний  
"Електром’ясорубка Redmond RMG-1223 швидко зламалася, шестерні виготовлені з пластика.", негативний
"Фен Babyliss 6704E слабка потужність, сушить дуже довго, розчарування.", негативний
"Кухонний комбайн Bosch MUM4880 потужний, швидкий і зручний, користуюся кожного дня!", позитивний  
"Фен Philips HP8233 відмінний для укладки, волосся виглядає доглянутим і блискучим.", позитивний  
"Мікрохвильова піч Samsung ME83X проста у використанні, добре розігріває їжу, рекомендую!", позитивний  
"Дуже задоволена товаром, працює відмінно, рекомендую всім!", позитивний  
"Прекрасна якість і зручність у використанні, найкраща покупка.", позитивний  
"Товар виконав усі очікування, працює ідеально, дякую!", позитивний  
"Все супер! Пристрій потужний, якісний, рекомендую з впевненістю.", позитивний  
"Валіза містка, ідеальна для подорожей. Дуже задоволена!", позитивний  
"Ланчбокс зручний, ідеальний для обіду. Рекомендую!", позитивний  
"Тримач для телефону надійний, добре фіксує. Супер!", позитивний  
"Фен швидко сушить волосся, зручний дизайн. Рекомендую!", позитивний  
"Гамак міцний, ідеальний для відпочинку. Дуже задоволена!", позитивний  
"Набір ножів гострий, чудово підходить для кухні. Рекомендую!", позитивний  
"Зволожувач повітря працює тихо, дуже ефективний. Класний вибір!", позитивний  
"Гриль простий у використанні, смачно готує. Дуже задоволена!", позитивний  
"Наволочки м'які, приємні на дотик. Класна покупка!", позитивний  
"Кросівки м'які, підходять для бігу. Дуже задоволена!", позитивний  
"Блендер Philips HR3652 дуже потужний, готує смузі за кілька секунд.", позитивний  
"Масажер Xiaomi Mi Massage Gun зручний, допомагає знімати втому після тренувань.", позитивний  
"Пилосос Dyson V10 Absolute чудовий, очищає навіть дрібний пил, дуже задоволена!", позитивний  
