text,label
"Мені сподобалося, але є моменти, які можна покращити.", нейтральний
"Це справжнє відкриття! Я в захваті!", позитивний
"Це треш", негативний
"На жаль, не виправдало моїх сподівань.", негативний
"Дуже приємно, що вибір був вдалим!", позитивний
"Все було добре, але нічого особливого.", нейтральний
"Це мій фаворит! Не шкодую про покупку!", позитивний
"Цілком прийнятно, але хотілося б більше.", нейтральний
"Вражаючий продукт! Я просто в захваті!", позитивний
"Досить простий, нічого особливого.", нейтральний
"Це справжній шедевр! Не можу натішитися!", позитивний
"Знову не те, що сподівалася. Розчарування.", негативний
"Загалом, непогано, але є нюанси.", нейтральний
"Чудове враження! Рекомендую всім!", позитивний
"Виглядає краще, ніж очікувала, але є недоліки.", нейтральний
"Це просто вражаюче! Найкраща покупка року!", позитивний
"Непогано, але є ще над чим працювати.", нейтральний
"Я в захваті! Вартує кожної копійки!", позитивний
"Не те, що я уявляла. Досить розчаровано.", негативний
"Цілком пристойно, але не більше того.", нейтральний
"Продукт перевершив мої очікування!", позитивний
"Цілком нормально, але без емоцій.", нейтральний  
"Я в захваті від цього! Це найкраще!", позитивний  
"Не сподобалося, дуже розчарована.", негативний  
"Дуже хороша якість, задоволена!", позитивний  
"Звичайно, могло бути краще.", нейтральний  
"Просто неймовірно! Я рекомендую всім!", позитивний  
"Досить посередньо, очікувала більшого.", негативний  
"Це те, що я шукала! Дуже задоволена!", позитивний  
"Мені сподобалося, але є деякі зауваження.", нейтральний  
"Це просто фантастика! Не можу натішитися!", позитивний  
"Не виправдало очікувань. Дуже розчаровано.", негативний  
"Цілком звичайно, але нічого особливого.", нейтральний  
"Найкраща покупка цього місяця! Дуже рада!", позитивний  
"Цілком пристойно, але без вражень.", нейтральний  
"Це справжня знахідка! Я щаслива!", позитивний  
"На жаль, не те, що я хотіла. Розчарування.", негативний  
"Приємно, але не вражаюче.", нейтральний  
"Я просто в захваті! Це ідеально!", позитивний  
"Досить непогано, але є нюанси.", нейтральний  
"Це просто чудово! Я дуже задоволена!", позитивний  
"Не те, що я сподівалася. Велике розчарування.", негативний  
"Цілком нормально, але нічого особливого.", нейтральний  
"Моя улюблена річ! Я не шкодую!", позитивний  
"Загалом, непогано, але є моменти для покращення.", нейтральний  
"Це справжній шедевр! Я дуже щаслива!", позитивний  
"Не те, що очікувала. Розчарована.", негативний  
"Приємно, але могло бути краще.", нейтральний  
"Я в захваті! Вартує кожної гривні!", позитивний  
"Цілком прийнятно, але не більше того.", нейтральний  
"Це просто приголомшливо! Найкраща покупка!", позитивний  
"Не сподобалося, велике розчарування.", негативний  
"Цілком задовільно, але не вражає.", нейтральний  
"Чудова покупка! Я дуже рада!", позитивний  
"Досить непогано, але є недоліки.", нейтральний  
"Це просто неймовірно! Я щаслива!", позитивний  
"Розчарування, зовсім не те, що очікувала.", негативний  
"Цілком нормально, але не особливо вражає.", нейтральний  
"Моя улюблена покупка цього року!", позитивний  
"Загалом, непогано, але я очікувала більшого.", нейтральний  
"Це чудово! Не можу натішитися!", позитивний  
"На жаль, це не виправдало моїх сподівань.", негативний  
"Цілком нормально, але нічого вражаючого.", нейтральний  
"Це моя знахідка! Я дуже задоволена!", позитивний  
"Досить посередньо, але є позитивні моменти.", нейтральний  
"Вражаючий продукт! Я в захваті!", позитивний  
"На жаль, не сподобалося. Розчарування.", негативний  
"Цілком прийнятно, але не вражає.", нейтральний  
"Це справжня радість! Я рекомендую!", позитивний  
"Не те, що я очікував. Велике розчарування.", негативний  
"Мені сподобалося, але є недоліки.", нейтральний  
"Я просто в захваті! Це ідеально!", позитивний  
"Не те, що очікувала. Розчарування.", негативний  
"Цілком нормально, але не вражає.", нейтральний  
"Моя улюблена покупка! Я не шкодую!", позитивний  
"Цілком задовільно, але могли б і краще.", нейтральний  
"Це просто чудово! Я дуже задоволена!", позитивний  
"Розчарування, зовсім не те, що очікувала.", негативний  
"Цілком нормально, але нічого особливого.", нейтральний  
"Це справжнє відкриття! Я в захваті!", позитивний  
"Не сподобалося, дуже розчарована.", негативний  
"Досить непогано, але є недоліки.", нейтральний  
"Чудова річ! Я дуже щаслива!", позитивний  
"Цілком прийнятно, але не більше того.", нейтральний  
"Це просто приголомшливо! Я в захваті!", позитивний  
"Не те, що очікувала. Розчарування.", негативний  
"Цілком нормально, але не вражає.", нейтральний  
"Це моя улюблена покупка! Дуже рада!", позитивний  
"Загалом, непогано, але є моменти для покращення.", нейтральний  
"Це чудово! Я рекомендую всім!", позитивний  
"На жаль, не сподобалося. Розчарування.", негативний  
"Цілком прийнятно, але не вражає.", нейтральний  
"Це просто неймовірно! Я дуже щаслива!", позитивний  
"Не те, що я хотіла. Розчарування.", негативний  
"Цілком нормально, але не особливо вражає.", нейтральний  
"Я в захваті! Це найкраще!", позитивний  
"Цілком прийнятно, але є нюанси.", нейтральний  
"Це просто вражаюче! Я щаслива!", позитивний  
"На жаль, не виправдало моїх сподівань.", негативний  
"Дуже якісний продукт! Задоволена!", позитивний  
